QSPRID	pKi_median_Label	pKi_median_Prediction	Fold
P08908_LIGANDS_nostereo_1183	9.02	8.27707	0.0
P08908_LIGANDS_nostereo_0439	6.81	7.14248	0.0
P08908_LIGANDS_nostereo_0674	6.19	6.6633	0.0
P08908_LIGANDS_nostereo_0076	6.31	6.54453	0.0
P08908_LIGANDS_nostereo_0575	7.1	6.68945	0.0
P08908_LIGANDS_nostereo_3134	7.42	8.01254	0.0
P08908_LIGANDS_nostereo_3410	7.19	7.61355	0.0
P08908_LIGANDS_nostereo_2028	7.1	6.5352	0.0
P08908_LIGANDS_nostereo_1408	7.64	7.30752	0.0
P08908_LIGANDS_nostereo_0676	7.01	6.0081	0.0
P08908_LIGANDS_nostereo_0499	6.8	6.9103	0.0
P08908_LIGANDS_nostereo_1385	6.99	6.68672	0.0
P08908_LIGANDS_nostereo_0898	8.33	8.4879	0.0
P08908_LIGANDS_nostereo_1121	6.75	7.23976	0.0
P08908_LIGANDS_nostereo_0751	9.93	10.25551	0.0
P08908_LIGANDS_nostereo_3337	7.85	7.95579	0.0
P08908_LIGANDS_nostereo_1264	6.4	6.66536	0.0
P08908_LIGANDS_nostereo_1416	8.44	7.49437	0.0
P08908_LIGANDS_nostereo_0307	7.38	7.43386	0.0
P08908_LIGANDS_nostereo_1510	6.32	6.49622	0.0
P08908_LIGANDS_nostereo_2001	8.68	7.49019	0.0
P08908_LIGANDS_nostereo_1230	8.75	8.50541	0.0
P08908_LIGANDS_nostereo_1960	9.28	7.24227	0.0
P08908_LIGANDS_nostereo_1473	6.9	6.64221	0.0
P08908_LIGANDS_nostereo_2947	7.04	6.85647	0.0
P08908_LIGANDS_nostereo_2782	7.04	7.83493	0.0
P08908_LIGANDS_nostereo_3362	8.28	6.81477	0.0
P08908_LIGANDS_nostereo_2056	7.54	6.98188	0.0
P08908_LIGANDS_nostereo_2177	7.43	7.59193	0.0
P08908_LIGANDS_nostereo_1414	8.89	7.29689	0.0
P08908_LIGANDS_nostereo_1148	7.1	7.43558	0.0
P08908_LIGANDS_nostereo_1637	8.2	7.49767	0.0
P08908_LIGANDS_nostereo_0019	6.13	6.97639	0.0
P08908_LIGANDS_nostereo_0511	6.83	6.66332	0.0
P08908_LIGANDS_nostereo_1952	7.72	7.55122	0.0
P08908_LIGANDS_nostereo_1810	8.78	8.84455	0.0
P08908_LIGANDS_nostereo_1881	7.97	8.30832	0.0
P08908_LIGANDS_nostereo_1394	6.96	7.01138	0.0
P08908_LIGANDS_nostereo_2015	6.2	6.20351	0.0
P08908_LIGANDS_nostereo_2000	7.6	7.71226	0.0
P08908_LIGANDS_nostereo_1061	7.0	6.61082	0.0
P08908_LIGANDS_nostereo_2714	7.34	7.20176	0.0
P08908_LIGANDS_nostereo_2210	5.6	7.23147	0.0
P08908_LIGANDS_nostereo_0157	6.95	7.18874	0.0
P08908_LIGANDS_nostereo_0512	7.39	6.68925	0.0
P08908_LIGANDS_nostereo_1292	9.7	7.70789	0.0
P08908_LIGANDS_nostereo_2487	6.01	7.17378	0.0
P08908_LIGANDS_nostereo_3226	7.53	7.99987	0.0
P08908_LIGANDS_nostereo_1463	5.605	6.60891	0.0
P08908_LIGANDS_nostereo_1846	9.44	8.35143	0.0
P08908_LIGANDS_nostereo_3073	6.94	6.22453	0.0
P08908_LIGANDS_nostereo_2239	8.3	7.4737	0.0
P08908_LIGANDS_nostereo_0296	5.73	5.75655	0.0
P08908_LIGANDS_nostereo_0069	7.56	6.91097	0.0
P08908_LIGANDS_nostereo_0931	7.95	7.5312	0.0
P08908_LIGANDS_nostereo_1682	7.7	7.8023	0.0
P08908_LIGANDS_nostereo_0548	7.5	8.07178	0.0
P08908_LIGANDS_nostereo_0663	8.09	7.98434	0.0
P08908_LIGANDS_nostereo_0192	7.66	7.02806	0.0
P08908_LIGANDS_nostereo_1780	7.04	6.3009	0.0
P08908_LIGANDS_nostereo_0976	9.47	9.17715	0.0
P08908_LIGANDS_nostereo_2912	7.18	6.80419	0.0
P08908_LIGANDS_nostereo_2025	8.2	8.39548	0.0
P08908_LIGANDS_nostereo_3116	8.105	7.40393	0.0
P08908_LIGANDS_nostereo_0025	7.82	7.86789	0.0
P08908_LIGANDS_nostereo_0901	8.4	8.14593	0.0
P08908_LIGANDS_nostereo_1863	8.28	7.31834	0.0
P08908_LIGANDS_nostereo_1815	7.4	7.17578	0.0
P08908_LIGANDS_nostereo_1283	6.64	6.79584	0.0
P08908_LIGANDS_nostereo_0321	5.67	7.34716	0.0
P08908_LIGANDS_nostereo_2981	8.3	8.54839	0.0
P08908_LIGANDS_nostereo_2563	8.89	7.996	0.0
P08908_LIGANDS_nostereo_1629	6.18	6.86283	0.0
P08908_LIGANDS_nostereo_1017	6.46	7.06313	0.0
P08908_LIGANDS_nostereo_0914	6.32	7.20518	0.0
P08908_LIGANDS_nostereo_2488	6.04	7.59907	0.0
P08908_LIGANDS_nostereo_1558	6.16	6.2748	0.0
P08908_LIGANDS_nostereo_2095	7.1	7.68654	0.0
P08908_LIGANDS_nostereo_2233	8.18	7.45495	0.0
P08908_LIGANDS_nostereo_1990	10.47	10.17571	0.0
P08908_LIGANDS_nostereo_1776	8.6	8.56207	0.0
P08908_LIGANDS_nostereo_3270	7.29	7.36255	0.0
P08908_LIGANDS_nostereo_1240	8.74	8.18008	0.0
P08908_LIGANDS_nostereo_2451	9.37	9.40747	0.0
P08908_LIGANDS_nostereo_2272	7.06	6.32448	0.0
P08908_LIGANDS_nostereo_2111	8.7	8.68673	0.0
P08908_LIGANDS_nostereo_0836	7.04	6.71696	0.0
P08908_LIGANDS_nostereo_0282	7.52	7.63666	0.0
P08908_LIGANDS_nostereo_0752	7.22	6.9485	0.0
P08908_LIGANDS_nostereo_1136	7.48	7.56685	0.0
P08908_LIGANDS_nostereo_2303	9.9	9.64007	0.0
P08908_LIGANDS_nostereo_2310	7.37	7.81635	0.0
P08908_LIGANDS_nostereo_2155	8.0	7.65476	0.0
P08908_LIGANDS_nostereo_0399	7.18	7.39963	0.0
P08908_LIGANDS_nostereo_0205	8.7	8.59284	0.0
P08908_LIGANDS_nostereo_3351	6.29	6.33948	0.0
P08908_LIGANDS_nostereo_0444	7.64	7.63162	0.0
P08908_LIGANDS_nostereo_0508	8.12	7.72876	0.0
P08908_LIGANDS_nostereo_2830	9.33	8.53479	0.0
P08908_LIGANDS_nostereo_3326	7.52	7.39768	0.0
P08908_LIGANDS_nostereo_0828	8.26	8.13526	0.0
P08908_LIGANDS_nostereo_2017	7.66	7.49566	0.0
P08908_LIGANDS_nostereo_2808	8.95	8.90275	0.0
P08908_LIGANDS_nostereo_2281	8.02	8.03848	0.0
P08908_LIGANDS_nostereo_1020	8.0	7.59913	0.0
P08908_LIGANDS_nostereo_3240	6.95	7.4515	0.0
P08908_LIGANDS_nostereo_2833	5.21	6.04034	0.0
P08908_LIGANDS_nostereo_2420	7.68	7.20079	0.0
P08908_LIGANDS_nostereo_0994	4.38	4.41638	0.0
P08908_LIGANDS_nostereo_2145	8.25	8.24257	0.0
P08908_LIGANDS_nostereo_2297	6.06	6.32993	0.0
P08908_LIGANDS_nostereo_1954	6.53	6.99472	0.0
P08908_LIGANDS_nostereo_0198	7.8	7.87229	0.0
P08908_LIGANDS_nostereo_2443	6.1	6.21121	0.0
P08908_LIGANDS_nostereo_2359	6.12	6.81266	0.0
P08908_LIGANDS_nostereo_3053	9.15	8.80261	0.0
P08908_LIGANDS_nostereo_2148	6.3	7.21145	0.0
P08908_LIGANDS_nostereo_0304	7.99	8.06351	0.0
P08908_LIGANDS_nostereo_0614	6.4	6.9349	0.0
P08908_LIGANDS_nostereo_1336	6.8	7.51845	0.0
P08908_LIGANDS_nostereo_1809	7.91	7.27732	0.0
P08908_LIGANDS_nostereo_2862	4.63	5.06005	0.0
P08908_LIGANDS_nostereo_0138	6.3	6.1014	0.0
P08908_LIGANDS_nostereo_3039	5.92	6.38028	0.0
P08908_LIGANDS_nostereo_3256	7.8	7.59706	0.0
P08908_LIGANDS_nostereo_0578	5.56	6.34404	0.0
P08908_LIGANDS_nostereo_2335	9.22	8.12875	0.0
P08908_LIGANDS_nostereo_0593	5.64	7.13029	0.0
P08908_LIGANDS_nostereo_0362	8.3	8.36456	0.0
P08908_LIGANDS_nostereo_2895	8.4	8.10422	0.0
P08908_LIGANDS_nostereo_1221	7.04	6.52003	0.0
P08908_LIGANDS_nostereo_2149	9.09	7.99667	0.0
P08908_LIGANDS_nostereo_0727	7.55	7.58718	0.0
P08908_LIGANDS_nostereo_2682	7.4	6.97092	0.0
P08908_LIGANDS_nostereo_3422	6.23	6.79884	0.0
P08908_LIGANDS_nostereo_1777	8.44	7.84056	0.0
P08908_LIGANDS_nostereo_3243	7.27	6.71578	0.0
P08908_LIGANDS_nostereo_0039	7.96	7.49684	0.0
P08908_LIGANDS_nostereo_1302	6.56	6.96738	0.0
P08908_LIGANDS_nostereo_0176	8.89	8.58952	0.0
P08908_LIGANDS_nostereo_0770	5.26	5.39515	0.0
P08908_LIGANDS_nostereo_0338	8.4	7.60411	0.0
P08908_LIGANDS_nostereo_2093	6.95	6.65204	0.0
P08908_LIGANDS_nostereo_0065	7.37	7.26177	0.0
P08908_LIGANDS_nostereo_0055	9.0	9.06187	0.0
P08908_LIGANDS_nostereo_1866	6.68	6.03051	0.0
P08908_LIGANDS_nostereo_0267	6.76	6.34483	0.0
P08908_LIGANDS_nostereo_0524	7.02	7.51738	0.0
P08908_LIGANDS_nostereo_3210	9.0	7.6275	0.0
P08908_LIGANDS_nostereo_1227	9.99	9.46488	0.0
P08908_LIGANDS_nostereo_3065	7.855	7.98838	0.0
P08908_LIGANDS_nostereo_2084	5.58	6.43509	0.0
P08908_LIGANDS_nostereo_2127	8.3	7.37019	0.0
P08908_LIGANDS_nostereo_0995	7.15	7.55488	0.0
P08908_LIGANDS_nostereo_0734	10.16	9.54347	0.0
P08908_LIGANDS_nostereo_0446	8.06	8.04887	0.0
P08908_LIGANDS_nostereo_0152	6.095	6.94582	0.0
P08908_LIGANDS_nostereo_1215	7.45	7.03069	0.0
P08908_LIGANDS_nostereo_1440	9.9	9.65726	0.0
P08908_LIGANDS_nostereo_3126	4.91	5.8031	0.0
P08908_LIGANDS_nostereo_1837	5.35	5.3623	0.0
P08908_LIGANDS_nostereo_3367	6.93	6.41304	0.0
P08908_LIGANDS_nostereo_2899	7.34	7.70277	0.0
P08908_LIGANDS_nostereo_3143	6.0	6.73261	0.0
P08908_LIGANDS_nostereo_0566	7.14	7.62038	0.0
P08908_LIGANDS_nostereo_0771	6.85	6.76618	0.0
P08908_LIGANDS_nostereo_0934	5.36	6.36027	0.0
P08908_LIGANDS_nostereo_1180	5.86	6.46894	0.0
P08908_LIGANDS_nostereo_0016	6.1	6.23668	0.0
P08908_LIGANDS_nostereo_0753	7.75	7.41727	0.0
P08908_LIGANDS_nostereo_2406	7.3	8.10061	0.0
P08908_LIGANDS_nostereo_2765	7.8	8.297	0.0
P08908_LIGANDS_nostereo_1170	6.55	6.57722	0.0
P08908_LIGANDS_nostereo_2562	6.9	7.19516	0.0
P08908_LIGANDS_nostereo_1233	6.34	6.45776	0.0
P08908_LIGANDS_nostereo_2724	5.55	6.51835	0.0
P08908_LIGANDS_nostereo_1572	8.17	7.74307	0.0
P08908_LIGANDS_nostereo_2752	7.76	7.28054	0.0
P08908_LIGANDS_nostereo_3047	8.1	8.11422	0.0
P08908_LIGANDS_nostereo_2021	6.87	7.71068	0.0
P08908_LIGANDS_nostereo_1620	8.0	7.49049	0.0
P08908_LIGANDS_nostereo_1153	7.57	7.58168	0.0
P08908_LIGANDS_nostereo_0222	9.05	9.23064	0.0
P08908_LIGANDS_nostereo_1679	7.52	6.91028	0.0
P08908_LIGANDS_nostereo_1397	8.6	8.61477	0.0
P08908_LIGANDS_nostereo_0178	7.78	7.78802	0.0
P08908_LIGANDS_nostereo_2404	8.09	8.28205	0.0
P08908_LIGANDS_nostereo_2300	7.14	7.32463	0.0
P08908_LIGANDS_nostereo_2536	8.7	7.19059	0.0
P08908_LIGANDS_nostereo_3165	8.4	7.57929	0.0
P08908_LIGANDS_nostereo_2256	8.54	8.42606	0.0
P08908_LIGANDS_nostereo_0155	5.85	6.6274	0.0
P08908_LIGANDS_nostereo_0731	8.32	8.80606	0.0
P08908_LIGANDS_nostereo_1774	8.96	7.757	0.0
P08908_LIGANDS_nostereo_2395	7.26	6.86168	0.0
P08908_LIGANDS_nostereo_2467	5.89	6.59636	0.0
P08908_LIGANDS_nostereo_2386	4.88	5.47165	0.0
P08908_LIGANDS_nostereo_2173	8.26	7.37537	0.0
P08908_LIGANDS_nostereo_0244	6.78	7.35924	0.0
P08908_LIGANDS_nostereo_3030	7.5	7.78839	0.0
P08908_LIGANDS_nostereo_1358	6.96	7.1932	0.0
P08908_LIGANDS_nostereo_0736	8.08	8.35417	0.0
P08908_LIGANDS_nostereo_0779	4.99	6.02178	0.0
P08908_LIGANDS_nostereo_0958	6.22	5.79153	0.0
P08908_LIGANDS_nostereo_0339	6.13	6.25884	0.0
P08908_LIGANDS_nostereo_0466	8.0	7.91631	0.0
P08908_LIGANDS_nostereo_1366	8.7	8.41927	0.0
P08908_LIGANDS_nostereo_1342	8.77	7.84418	0.0
P08908_LIGANDS_nostereo_1253	6.8	7.3569	0.0
P08908_LIGANDS_nostereo_2648	7.93	7.89997	0.0
P08908_LIGANDS_nostereo_1540	7.8	7.61722	0.0
P08908_LIGANDS_nostereo_0056	7.02	6.80101	0.0
P08908_LIGANDS_nostereo_2463	9.8	8.7936	0.0
P08908_LIGANDS_nostereo_3207	7.8	7.5921	0.0
P08908_LIGANDS_nostereo_2161	8.89	8.5397	0.0
P08908_LIGANDS_nostereo_2675	7.755	7.40338	0.0
P08908_LIGANDS_nostereo_0985	7.07	7.60217	0.0
P08908_LIGANDS_nostereo_3395	6.18	6.59165	0.0
P08908_LIGANDS_nostereo_0398	7.91	7.87693	0.0
P08908_LIGANDS_nostereo_2512	7.955	7.88544	0.0
P08908_LIGANDS_nostereo_0983	8.21	8.44427	0.0
P08908_LIGANDS_nostereo_0982	6.06	6.03795	0.0
P08908_LIGANDS_nostereo_3124	5.3	5.93388	0.0
P08908_LIGANDS_nostereo_0365	7.28	7.10382	0.0
P08908_LIGANDS_nostereo_2759	6.66	6.2376	0.0
P08908_LIGANDS_nostereo_3159	5.35	7.1807	0.0
P08908_LIGANDS_nostereo_1938	7.16	7.00636	0.0
P08908_LIGANDS_nostereo_1930	7.66	6.80817	0.0
P08908_LIGANDS_nostereo_2332	6.43	6.52071	0.0
P08908_LIGANDS_nostereo_2291	8.7	7.82961	0.0
P08908_LIGANDS_nostereo_0434	7.72	7.65675	0.0
P08908_LIGANDS_nostereo_2515	7.64	6.73976	0.0
P08908_LIGANDS_nostereo_1373	6.42	6.61637	0.0
P08908_LIGANDS_nostereo_2810	5.99	6.94582	0.0
P08908_LIGANDS_nostereo_1927	8.06	7.98603	0.0
P08908_LIGANDS_nostereo_1167	5.55	5.99264	0.0
P08908_LIGANDS_nostereo_3230	8.4	6.33745	0.0
P08908_LIGANDS_nostereo_2587	5.87	5.67171	0.0
P08908_LIGANDS_nostereo_0330	8.71	8.88733	0.0
P08908_LIGANDS_nostereo_0680	6.95	7.03669	0.0
P08908_LIGANDS_nostereo_0551	5.19	5.95633	0.0
P08908_LIGANDS_nostereo_1492	8.84	9.39372	0.0
P08908_LIGANDS_nostereo_3083	8.64	8.12925	0.0
P08908_LIGANDS_nostereo_1523	6.41	8.67758	0.0
P08908_LIGANDS_nostereo_0122	7.38	7.71132	0.0
P08908_LIGANDS_nostereo_0672	6.03	5.97124	0.0
P08908_LIGANDS_nostereo_0003	7.87	7.67984	0.0
P08908_LIGANDS_nostereo_1821	7.57	7.82094	0.0
P08908_LIGANDS_nostereo_1299	8.6	8.18582	0.0
P08908_LIGANDS_nostereo_1112	6.33	6.53126	0.0
P08908_LIGANDS_nostereo_0250	8.14	7.23367	0.0
P08908_LIGANDS_nostereo_2658	8.87	8.56142	0.0
P08908_LIGANDS_nostereo_1585	5.02	5.46482	0.0
P08908_LIGANDS_nostereo_2688	6.59	6.90033	0.0
P08908_LIGANDS_nostereo_2456	7.82	7.66421	0.0
P08908_LIGANDS_nostereo_1220	9.22	8.07589	0.0
P08908_LIGANDS_nostereo_0557	8.7	8.52378	0.0
P08908_LIGANDS_nostereo_0058	7.1	7.35279	0.0
P08908_LIGANDS_nostereo_1819	7.55	8.17771	0.0
P08908_LIGANDS_nostereo_2044	9.06	9.18823	0.0
P08908_LIGANDS_nostereo_3385	9.2	8.81136	0.0
P08908_LIGANDS_nostereo_1487	8.66	8.64321	0.0
P08908_LIGANDS_nostereo_3138	6.79	7.24167	0.0
P08908_LIGANDS_nostereo_0695	7.27	6.94147	0.0
P08908_LIGANDS_nostereo_2010	9.0	9.05322	0.0
P08908_LIGANDS_nostereo_2258	6.16	6.78572	0.0
P08908_LIGANDS_nostereo_0072	8.58	8.06266	0.0
P08908_LIGANDS_nostereo_2583	8.96	8.44861	0.0
P08908_LIGANDS_nostereo_2234	8.1	7.62587	0.0
P08908_LIGANDS_nostereo_0600	7.92	7.34728	0.0
P08908_LIGANDS_nostereo_3130	7.68	7.80149	0.0
P08908_LIGANDS_nostereo_1919	6.745	6.57124	0.0
P08908_LIGANDS_nostereo_2063	8.03	8.31022	0.0
P08908_LIGANDS_nostereo_1634	6.52	6.67706	0.0
P08908_LIGANDS_nostereo_1968	8.99	8.71438	0.0
P08908_LIGANDS_nostereo_2236	6.43	6.38841	0.0
P08908_LIGANDS_nostereo_3262	6.9	7.07245	0.0
P08908_LIGANDS_nostereo_2831	6.97	7.40222	0.0
P08908_LIGANDS_nostereo_0230	9.05	7.38391	0.0
P08908_LIGANDS_nostereo_0385	6.38	6.51948	0.0
P08908_LIGANDS_nostereo_2965	6.55	6.57716	0.0
P08908_LIGANDS_nostereo_2020	7.7	6.89785	0.0
P08908_LIGANDS_nostereo_1909	5.02	6.75652	0.0
P08908_LIGANDS_nostereo_0968	8.21	8.63562	0.0
P08908_LIGANDS_nostereo_2744	5.88	5.65256	0.0
P08908_LIGANDS_nostereo_2022	5.36	5.82659	0.0
P08908_LIGANDS_nostereo_0560	5.77	6.74544	0.0
P08908_LIGANDS_nostereo_0696	4.42	4.88698	0.0
P08908_LIGANDS_nostereo_1014	7.8	8.18203	0.0
P08908_LIGANDS_nostereo_1455	8.21	8.08782	0.0
P08908_LIGANDS_nostereo_1609	5.39	5.54413	0.0
P08908_LIGANDS_nostereo_0139	8.3	7.91472	0.0
P08908_LIGANDS_nostereo_0862	5.7	7.0154	0.0
P08908_LIGANDS_nostereo_1590	7.97	7.3745	0.0
P08908_LIGANDS_nostereo_2938	6.33	6.23648	0.0
P08908_LIGANDS_nostereo_2871	7.73	7.24129	0.0
P08908_LIGANDS_nostereo_0679	7.34	7.17445	0.0
P08908_LIGANDS_nostereo_2951	5.47	7.03346	0.0
P08908_LIGANDS_nostereo_0223	6.8	7.59675	0.0
P08908_LIGANDS_nostereo_1446	5.57	6.79751	0.0
P08908_LIGANDS_nostereo_3108	7.725	7.51268	0.0
P08908_LIGANDS_nostereo_2158	8.46	8.43686	0.0
P08908_LIGANDS_nostereo_1475	6.91	6.77116	0.0
P08908_LIGANDS_nostereo_3418	5.39	5.85585	0.0
P08908_LIGANDS_nostereo_2544	6.38	6.35137	0.0
P08908_LIGANDS_nostereo_1111	8.3	8.00033	0.0
P08908_LIGANDS_nostereo_0925	8.14	8.95954	0.0
P08908_LIGANDS_nostereo_2908	8.8	8.03475	0.0
P08908_LIGANDS_nostereo_2193	5.77	6.87843	0.0
P08908_LIGANDS_nostereo_1608	5.53	6.05949	0.0
P08908_LIGANDS_nostereo_2826	5.68	6.14169	0.0
P08908_LIGANDS_nostereo_1024	6.53	6.79436	0.0
P08908_LIGANDS_nostereo_0704	9.0	8.57818	0.0
P08908_LIGANDS_nostereo_0643	8.4	8.32397	0.0
P08908_LIGANDS_nostereo_2653	7.2	6.64407	0.0
P08908_LIGANDS_nostereo_1695	7.1	7.04717	0.0
P08908_LIGANDS_nostereo_0012	7.92	7.90016	0.0
P08908_LIGANDS_nostereo_1242	7.09	7.32696	0.0
P08908_LIGANDS_nostereo_2855	6.6	7.93962	0.0
P08908_LIGANDS_nostereo_1628	6.52	6.31244	0.0
P08908_LIGANDS_nostereo_2854	8.27	7.93323	0.0
P08908_LIGANDS_nostereo_0936	8.84	9.10812	0.0
P08908_LIGANDS_nostereo_0514	8.37	7.04077	0.0
P08908_LIGANDS_nostereo_0345	7.62	7.7207	0.0
P08908_LIGANDS_nostereo_0534	10.21	10.36124	0.0
P08908_LIGANDS_nostereo_1405	8.7	7.54081	0.0
P08908_LIGANDS_nostereo_2677	7.14	7.33872	0.0
P08908_LIGANDS_nostereo_3255	8.4	8.08058	0.0
P08908_LIGANDS_nostereo_1367	7.68	7.79573	0.0
P08908_LIGANDS_nostereo_2486	7.47	7.20611	0.0
P08908_LIGANDS_nostereo_2626	8.19	5.74119	0.0
P08908_LIGANDS_nostereo_1280	5.5	6.621	0.0
P08908_LIGANDS_nostereo_1141	8.9	8.22376	0.0
P08908_LIGANDS_nostereo_0160	7.35	7.04013	0.0
P08908_LIGANDS_nostereo_0606	9.86	10.01508	0.0
P08908_LIGANDS_nostereo_1190	7.7	7.98698	0.0
P08908_LIGANDS_nostereo_2006	7.3	8.37215	0.0
P08908_LIGANDS_nostereo_1130	6.76	7.92716	0.0
P08908_LIGANDS_nostereo_3120	7.24	6.84713	0.0
P08908_LIGANDS_nostereo_3072	7.57	8.2873	0.0
P08908_LIGANDS_nostereo_3347	5.77	6.97004	0.0
P08908_LIGANDS_nostereo_1272	7.09	7.05078	0.0
